client_id,client_name,region,registration_date
1,Мосинжпроект,Могилёвская,2023-09-01
2,ВкусВилл,Гомельская,2024-02-19
3,АО «Чернова Ершов»,Минская,2025-01-19
4,Такеда Фармасьютикалс (Takeda Pharmaceutical),Минская,2023-10-19
5,Сазонов Инк,Гродненская,2023-09-05
6,АО «Абрамов»,Гродненская,2024-09-08
7,Зайцев Лтд,Минская,2024-01-14
8,Такеда Фармасьютикалс (Takeda Pharmaceutical),Гродненская,2024-07-03
9,НПО «Медведева Наумов»,Витебская,2025-05-02
10,ОАО «Калашникова»,Брестская,2023-12-15
11,Неофарм,Могилёвская,2024-05-03
12,АО «Горбунов-Субботина»,Могилёвская,2025-03-28
13,РАО «Герасимов-Мишин»,Витебская,2023-10-27
14,ОАО «Пахомов-Жукова»,Брестская,2024-03-05
15,ООО «Русаков»,Гродненская,2024-10-02
16,НПО «Яковлев»,Гомельская,2024-10-14
17,ОАО «Матвеева-Осипова»,Гродненская,2025-06-30
18,ЗАО «Блинов-Горбунова»,Брестская,2023-10-06
19,ООО «Панов»,Гродненская,2025-04-04
20,РАО «Гурьева-Абрамов»,Витебская,2025-06-16
21,НПО «Наумов»,Гродненская,2024-07-30
22,Соллерс,Брестская,2023-12-17
23,ИП «Гаврилов-Громова»,Гродненская,2024-03-07
24,Корпорация Тактическое ракетное вооружение,Брестская,2024-11-28
25,Совкомфлот,Минская,2024-09-30
26,Трансбункер,Минская,2023-12-17
27,"НПО «Потапов, Уварова и Антонова»",Минская,2025-01-28
28,Быков Лимитед,Могилёвская,2024-04-20
29,АО «Харитонова»,Минская,2023-09-06
30,НПО «Беляков-Титов»,Гродненская,2024-01-23
31,Носова Лимитед,Витебская,2024-04-13
32,ООО «Лебедева Вишняков»,Гомельская,2025-06-30
33,ПСК,Могилёвская,2023-12-01
34,АО «Горшков-Копылова»,Брестская,2024-10-22
35,Назаров Лимитед,Витебская,2024-11-09
36,"ЗАО «Лаврентьев, Владимиров и Быков»",Брестская,2023-11-28
37,Кузнецова Инк,Могилёвская,2025-03-22
38,ОАО «Поляков»,Брестская,2023-12-09
39,Акрон,Гомельская,2025-04-19
40,Неофарм,Гомельская,2024-11-18
41,НПО «Фадеев»,Гродненская,2024-11-17
42,"ЗАО «Овчинников, Меркушева и Титова»",Гомельская,2025-06-11
43,ООО «Абрамова»,Гродненская,2023-11-09
44,ЭйчПи Инк (HP Inc.),Витебская,2025-03-18
45,ОАО «Тимофеева-Федосеев»,Гомельская,2023-11-07
46,НПО «Веселов-Буров»,Гродненская,2023-08-15
47,Компания Адамас,Минская,2024-09-04
48,ЗАО «Якушева Соболев»,Брестская,2025-06-19
49,Гознак,Гродненская,2025-05-27
50,ТЦ Кунцево Лимитед,Гродненская,2024-11-28
51,АО «Дементьев Хохлова»,Брестская,2023-12-16
52,Тетерина Лтд,Минская,2025-07-26
53,ЗАО «Юдин»,Брестская,2024-08-26
54,РАО «Бобылева»,Могилёвская,2024-05-20
55,АО «Андреев-Трофимов»,Могилёвская,2025-06-24
56,Фомичева Инк,Могилёвская,2023-10-18
57,Группа Стройтрансгаз,Гродненская,2025-05-07
58,ОАО «Беляева»,Брестская,2025-03-29
59,АО «Александрова Селиверстов»,Гомельская,2024-10-13
60,ИП «Федорова Комиссарова»,Гомельская,2024-11-26
61,"АО «Бобылева, Орлова и Лукина»",Гомельская,2025-03-01
62,ГК Агро-Белогорье,Гомельская,2025-02-16
63,НПО «Громова-Маркова»,Гродненская,2024-05-29
64,"ЗАО «Лихачев, Журавлев и Горшков»",Гродненская,2024-02-03
65,ИП «Волков»,Гомельская,2024-11-11
66,Рыбаков Лтд,Гродненская,2024-01-31
67,РАО «Быкова»,Могилёвская,2024-12-15
68,АО «Кузьмин»,Брестская,2025-07-16
69,ОАО «Нестеров»,Гродненская,2023-10-07
70,Мухин и партнеры,Гомельская,2025-01-13
71,"АО «Орлова, Белоусов и Воронова»",Могилёвская,2025-08-08
72,Борисова Групп,Брестская,2024-02-17
73,"ОАО «Авдеев, Щербаков и Пономарев»",Минская,2023-10-27
74,ПКФ ДиПОС,Гродненская,2024-05-14
75,"НПО «Колобов, Ситникова и Трофимова»",Витебская,2023-09-24
76,Русснефть,Гомельская,2023-09-29
77,"ООО «Ларионов, Ефремова и Дементьева»",Брестская,2023-11-05
78,АО «Щербаков Белова»,Гродненская,2024-07-26
79,НПО «Громов Наумов»,Гомельская,2024-08-06
80,ОАО «Беспалова Алексеев»,Витебская,2024-07-22
81,Лазарев Инк,Могилёвская,2024-12-31
82,Игнатова Инк,Гомельская,2023-10-24
83,АО «Авдеев Лыткин»,Брестская,2024-08-20
84,ОАО «Брагин Никонова»,Гомельская,2023-09-27
85,НПО «Иванов Гуляев»,Гродненская,2024-03-05
86,"ИП «Сазонов, Аксенова и Субботина»",Витебская,2025-03-02
87,Коновалова Лимитед,Могилёвская,2024-08-25
88,АО «Капустин Кудряшов»,Витебская,2023-09-27
89,Горшкова Лтд,Могилёвская,2023-09-29
90,Белгранкорм-холдинг,Гродненская,2023-09-26
91,ЗАО «Пестов»,Витебская,2024-09-06
92,Веселов Инк,Минская,2024-09-10
93,ОАО «Давыдов»,Гомельская,2023-10-05
94,Кузьмин Лимитед,Гомельская,2025-06-12
95,НПО «Журавлев Бурова»,Могилёвская,2025-07-04
96,Горшков Лтд,Гомельская,2024-11-16
97,ЗАО «Сорокин»,Минская,2024-07-03
98,Южуралзолото ГК,Витебская,2024-10-25
99,Евдокимов и партнеры,Минская,2024-01-18
100,Белгранкорм-холдинг,Гродненская,2024-02-14
101,НПО «Белоусов-Громова»,Гомельская,2024-12-26
102,НПО «Евдокимов-Бобылева»,Гродненская,2025-03-18
103,РАО «Фомичев»,Брестская,2024-12-07
104,Медведев Инк,Витебская,2024-10-03
105,ЗАО «Лобанов Белоусов»,Могилёвская,2025-08-06
